exp_id,timestamp,name,description,use_smote,learning_rate,max_depth,mean_accuracy,std_accuracy,mean_f1,std_f1,mean_precision,std_precision,mean_recall,std_recall,full_train_accuracy,full_train_f1,full_train_precision,full_train_recall,full_train_metric_scope,model_type
exp_001_baseline,2026-03-21 18:35:23,baseline,初始 baseline 實驗，使用 SMOTE 和預設參數,True,0.1,6,0.8746778711484593,0.0406254601739228,0.9163977293535982,0.0265712168929414,0.9151023573200991,0.0280571186186729,0.9178075396825396,0.0269521942825438,0.995253164556962,0.9952456418383518,0.9968253968253968,0.9936708860759492,train_set_only_no_validation,
exp_002_LightGBM,2026-03-21 20:35:24,LightGBM,使用 LightGBM 實驗，使用 SMOTE 和預設參數,True,0.1,6,0.8769747899159664,0.0441232578353832,0.9180849899974994,0.028641420635746,0.9156971989758876,0.0321022282516188,0.9209821428571427,0.0329701074079125,1.0,1.0,1.0,1.0,train_set_only_no_validation,
exp_003_LightGBM,2026-03-21 20:42:50,LightGBM,使用 LightGBM 實驗，使用 SMOTE 和預設參數,True,0.1,6,0.858095238095238,0.0291497465894258,0.905695041118531,0.0175103307937447,0.9041820901835156,0.0351568042422518,0.90828373015873,0.0181634336128862,0.9794303797468354,0.9792663476874004,0.9871382636655948,0.971518987341772,train_set_only_no_validation,
exp_004_RandomForest,2026-03-21 20:58:03,RandomForest,使用 Random Forest 實驗，使用 SMOTE 和預設參數,True,0.1,6,0.858235294117647,0.0312934677562969,0.9046822725453584,0.0226651195399568,0.905536558157202,0.0166245255401319,0.9051091269841268,0.0436382783284919,0.9620253164556962,0.9616613418530352,0.970967741935484,0.9525316455696202,train_set_only_no_validation,
exp_005_RandomForest,2026-03-21 21:02:54,RandomForest,使用 Random Forest 實驗，使用 SMOTE 和預設參數,True,0.1,6,0.8629691876750701,0.0360262205510317,0.907842208507035,0.0256229890714691,0.9083848425860384,0.0165244815259196,0.9082341269841268,0.0430445820263611,0.9620253164556962,0.9615384615384616,0.974025974025974,0.9493670886075948,train_set_only_no_validation,
exp_006_RandomForest,2026-03-21 22:02:37,RandomForest,使用 Random Forest 實驗，使用 class_weight 平衡,False,0.1,6,0.8794397759103643,0.0418112056490356,0.9196196768510976,0.0280328642398937,0.9159106226981923,0.0291450849057186,0.9241071428571428,0.0379508050697501,0.9479905437352246,0.964401294498382,0.9867549668874172,0.9430379746835444,train_set_only_no_validation,
exp_007_RandomForest_missing_type,2026-03-23 23:41:41,RandomForest_missing_type,"使用 Random Forest + class_weight 平衡 + 類別缺失值用 ""-1"" 字串補值",False,0.1,6,0.8723529411764707,0.0432707019511041,0.91512301032301,0.029153136160679,0.9070605878460016,0.0253924699876722,0.9241071428571428,0.0429346924769492,0.9645390070921984,0.9759229534510432,0.990228013029316,0.9620253164556962,train_set_only_no_validation,
exp_008_baseline_missing_type,2026-03-23 23:45:10,baseline_missing_type,"使用 XGBoosts_weight 平衡 + 類別缺失值用 ""-1"" 字串補值",False,0.1,6,0.8581512605042017,0.0223371397994435,0.9028411831314418,0.013372477048331,0.9280089832141548,0.0300284685778107,0.8797123015873016,0.0129748100086045,0.9929078014184396,0.9952305246422892,1.0,0.990506329113924,train_set_only_no_validation,
exp_009_lightgbmg_type,2026-03-23 23:46:39,lightgbmg_type,"使用 lightgbm + class_weight 類別缺失值用 ""-1"" 字串補值",False,0.1,6,0.8653221288515407,0.0215277724309198,0.9073876694281796,0.015981547491268,0.9316174481465608,0.0245510116110286,0.8860119047619047,0.0369074286457567,0.9621749408983452,0.9741100323624596,0.9966887417218544,0.9525316455696202,train_set_only_no_validation,
exp_010_catboost,2026-03-24 00:03:10,catboost,"使用 catboost + class_weight 類別缺失值用 ""-1"" 字串補值",False,0.05,6,0.8960784313725491,0.0388910129298225,0.9303009039666108,0.0265004068999956,0.9277654602146894,0.017911469659279,0.9336309523809524,0.0428686235357497,1.0,1.0,1.0,1.0,train_set_only_no_validation,catboost
